,Reviews
97,"
I once used Fotopro UFO2 but I did not like the ball head because it sometimes did not sustain mid-weight mirrorless cameras (gx85). Now I really like this basic tripod without the ball head rather than the  UFO2. By mounting another sturdy mini ball head (Harwerrel Tripod Mini Ball Head: about $12), this tripod becomes a perfect flexible tripod I ever used!!!! Much versatile and sturdier than Gorilla pod 3k which costs $20 more than the combination I made!!!
"
98,"
I wanted to do an update review on this product because unfortunately it broke while I was recording. I emailed the company, and they're already sending me a brand new one to replace the broken one (5 days after initial email). Overall, this tripod is everything I wanted and incredibly durable overall. I'm incredibly satisfied with both the customer service as well as the tripod.
"
99,"
Great for holding up my canon camera and highly recommend this for anyone looking for a tripod. It’s beyond what it’s worth, it’s a lot better than these other tripods you can get at Best Buy which are way over priced. It’s great for recording my car videos
"
100,"
Was great for the 2 days I got to use it before my puppy got a hold of it and chewed one of the feet off. I'll pick it up again when I have more money, but would recommend to anyone looking for a good mini tripod right now.
"
101,"
Like others, I own other competitor styles and this one just fits my needs much better. I really wanted one that was easy to hold with my Sony A7III attached. This fits the bill perfectly. Also, I am never concerned that the camera is at risk of falling off.
"
102,"
I have 3 other tripods, However I wanted a flexible model. Not sure how much I would use so I got this well priced, Amazon recommended model. It performs everything that it is supposed to do well. If you intend to use one a lot, I would recommend getting a model with a better smartphone mount and rotating ball on the mount, for more flexibility. But if you need a good basic flexible tripod, this can not be beat for the price.
"
103,"
I use this to shoot with my iPhone pretty consistently, but when trying to use it for even a point and shoot camera, the legs don't hold up well. Perfect for iPhone, but something sturdier for a small camera is best.
"
104,"
We use the stand to hang the baby camera from the mirror edge in our bedroom.With the standard screw mount, our baby monitor camera attaches and becomes versatile. Wherever we go, a basic hook or ledge becomes a place to stand, hang, or hug this tri-pod and point the baby monitor at our little one.
"
105,"
I was skeptical but the tripod is stable and has been a great tool for video with no shake in the video from holding it.
"
106,"
Oh my goodness. I had thought this was too good to be true. My husband purchased this for me for V-Day. I had no clue but I knew when I opened the box. My Nikon D7100 fit on it without issue and does indeed hold it up without problem. It also came with a small attachment for phones, this is also great and wonderful - super easy to use and sturdy! Great present! <3
"
107,"
This was a second time because I lost my last phone clip. This time around it came with the phone clip but didn’t have the pivot on it so I could use it in multiple ways. I plan on purchasing another. Before I do I want to hear from the company or supplier on why the change up on the phone clip.
"
108,"
I received it today and absolutely love it the quality is great it feels high end!!! I highly recommend this product it’s so easy to use making it enjoyable!!! I will definitely be buying another one soon for back up :)
"
